20151114182717,1.1.1.22,60491,1.1.2.177,5001,3,0.0-1.0,28966912,231735296
20151114182718,1.1.1.22,60491,1.1.2.177,5001,3,1.0-2.0,26214400,209715200
20151114182719,1.1.1.22,60491,1.1.2.177,5001,3,2.0-3.0,30146560,241172480
20151114182720,1.1.1.22,60491,1.1.2.177,5001,3,3.0-4.0,29360128,234881024
20151114182721,1.1.1.22,60491,1.1.2.177,5001,3,4.0-5.0,26345472,210763776
20151114182722,1.1.1.22,60491,1.1.2.177,5001,3,5.0-6.0,29360128,234881024
20151114182723,1.1.1.22,60491,1.1.2.177,5001,3,6.0-7.0,29229056,233832448
20151114182724,1.1.1.22,60491,1.1.2.177,5001,3,7.0-8.0,26738688,213909504
20151114182725,1.1.1.22,60491,1.1.2.177,5001,3,8.0-9.0,29360128,234881024
20151114182726,1.1.1.22,60491,1.1.2.177,5001,3,9.0-10.0,29491200,235929600
20151114182727,1.1.1.22,60491,1.1.2.177,5001,3,10.0-11.0,29491200,235929600
20151114182728,1.1.1.22,60491,1.1.2.177,5001,3,11.0-12.0,32243712,257949696
20151114182729,1.1.1.22,60491,1.1.2.177,5001,3,12.0-13.0,32243712,257949696
20151114182730,1.1.1.22,60491,1.1.2.177,5001,3,13.0-14.0,32112640,256901120
20151114182731,1.1.1.22,60491,1.1.2.177,5001,3,14.0-15.0,30670848,245366784
20151114182732,1.1.1.22,60491,1.1.2.177,5001,3,15.0-16.0,30670848,245366784
20151114182733,1.1.1.22,60491,1.1.2.177,5001,3,16.0-17.0,32374784,258998272
20151114182734,1.1.1.22,60491,1.1.2.177,5001,3,17.0-18.0,32112640,256901120
20151114182735,1.1.1.22,60491,1.1.2.177,5001,3,18.0-19.0,30932992,247463936
20151114182736,1.1.1.22,60491,1.1.2.177,5001,3,19.0-20.0,30801920,246415360
20151114182737,1.1.1.22,60491,1.1.2.177,5001,3,20.0-21.0,33554432,268435456
20151114182738,1.1.1.22,60491,1.1.2.177,5001,3,21.0-22.0,37486592,299892736
20151114182739,1.1.1.22,60491,1.1.2.177,5001,3,22.0-23.0,37486592,299892736
20151114182740,1.1.1.22,60491,1.1.2.177,5001,3,23.0-24.0,38928384,311427072
20151114182741,1.1.1.22,60491,1.1.2.177,5001,3,24.0-25.0,40239104,321912832
20151114182742,1.1.1.22,60491,1.1.2.177,5001,3,25.0-26.0,40370176,322961408
20151114182743,1.1.1.22,60491,1.1.2.177,5001,3,26.0-27.0,42729472,341835776
20151114182744,1.1.1.22,60491,1.1.2.177,5001,3,27.0-28.0,42860544,342884352
20151114182745,1.1.1.22,60491,1.1.2.177,5001,3,28.0-29.0,41025536,328204288
20151114182746,1.1.1.22,60491,1.1.2.177,5001,3,29.0-30.0,42598400,340787200
20151114182747,1.1.1.22,60491,1.1.2.177,5001,3,30.0-31.0,33685504,269484032
20151114182748,1.1.1.22,60491,1.1.2.177,5001,3,31.0-32.0,25952256,207618048
20151114182749,1.1.1.22,60491,1.1.2.177,5001,3,32.0-33.0,28835840,230686720
20151114182750,1.1.1.22,60491,1.1.2.177,5001,3,33.0-34.0,28966912,231735296
20151114182751,1.1.1.22,60491,1.1.2.177,5001,3,34.0-35.0,28835840,230686720
20151114182752,1.1.1.22,60491,1.1.2.177,5001,3,35.0-36.0,27656192,221249536
20151114182753,1.1.1.22,60491,1.1.2.177,5001,3,36.0-37.0,27394048,219152384
20151114182754,1.1.1.22,60491,1.1.2.177,5001,3,37.0-38.0,28966912,231735296
20151114182755,1.1.1.22,60491,1.1.2.177,5001,3,38.0-39.0,29097984,232783872
20151114182756,1.1.1.22,60491,1.1.2.177,5001,3,39.0-40.0,28966912,231735296
20151114182757,1.1.1.22,60491,1.1.2.177,5001,3,40.0-41.0,26083328,208666624
20151114182758,1.1.1.22,60491,1.1.2.177,5001,3,41.0-42.0,24641536,197132288
20151114182759,1.1.1.22,60491,1.1.2.177,5001,3,42.0-43.0,24641536,197132288
20151114182800,1.1.1.22,60491,1.1.2.177,5001,3,43.0-44.0,26214400,209715200
20151114182801,1.1.1.22,60491,1.1.2.177,5001,3,44.0-45.0,26083328,208666624
20151114182802,1.1.1.22,60491,1.1.2.177,5001,3,45.0-46.0,23199744,185597952
20151114182803,1.1.1.22,60491,1.1.2.177,5001,3,46.0-47.0,26214400,209715200
20151114182804,1.1.1.22,60491,1.1.2.177,5001,3,47.0-48.0,26083328,208666624
20151114182805,1.1.1.22,60491,1.1.2.177,5001,3,48.0-49.0,23199744,185597952
20151114182806,1.1.1.22,60491,1.1.2.177,5001,3,49.0-50.0,26214400,209715200
20151114182807,1.1.1.22,60491,1.1.2.177,5001,3,50.0-51.0,23199744,185597952
20151114182808,1.1.1.22,60491,1.1.2.177,5001,3,51.0-52.0,20185088,161480704
20151114182809,1.1.1.22,60491,1.1.2.177,5001,3,52.0-53.0,20185088,161480704
20151114182810,1.1.1.22,60491,1.1.2.177,5001,3,53.0-54.0,23068672,184549376
20151114182811,1.1.1.22,60491,1.1.2.177,5001,3,54.0-55.0,20185088,161480704
20151114182812,1.1.1.22,60491,1.1.2.177,5001,3,55.0-56.0,20185088,161480704
20151114182813,1.1.1.22,60491,1.1.2.177,5001,3,56.0-57.0,21626880,173015040
20151114182814,1.1.1.22,60491,1.1.2.177,5001,3,57.0-58.0,21626880,173015040
20151114182815,1.1.1.22,60491,1.1.2.177,5001,3,58.0-59.0,20185088,161480704
20151114182816,1.1.1.22,60491,1.1.2.177,5001,3,59.0-60.0,20185088,161480704
