Linux 3.10.0-229.el7.x86_64 (rhel7-23.in.ibm.com) 	11/10/2015 	_x86_64_	(24 CPU)

05:40:03 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:04 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:04 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:04 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:04 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:04 PM      eth0     37.00     32.00      6.80      8.07      0.00      0.00      0.00
05:40:04 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      0.00
05:40:04 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
05:40:04 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:04 PM      eth4      6.00      2.00      0.35      0.26      0.00      0.00      0.00
05:40:04 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:04 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:04 PM     br-ex      8.00      0.00      0.47      0.00      0.00      0.00      0.00

05:40:04 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:05 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:05 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:05 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:05 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:05 PM      eth0     21.00     21.00      2.35      3.67      0.00      0.00      0.00
05:40:05 PM      eth1     29.00     19.00      4.19      4.34      0.00      0.00      6.00
05:40:05 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
05:40:05 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:05 PM      eth4      7.00      1.00      0.41      0.10      0.00      0.00      0.00
05:40:05 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:05 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:05 PM     br-ex     28.00     19.00      4.13      4.34      0.00      0.00      0.00

05:40:05 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:06 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:06 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:06 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:06 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:06 PM      eth0     67.00     93.00     15.92     10.33      0.00      0.00      0.00
05:40:06 PM      eth1      8.00      0.00      0.75      0.00      0.00      0.00      0.00
05:40:06 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
05:40:06 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:06 PM      eth4      4.00      0.00      0.23      0.00      0.00      0.00      0.00
05:40:06 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:06 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:06 PM     br-ex      8.00      0.00      0.75      0.00      0.00      0.00      0.00

05:40:06 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:07 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:07 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:07 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:07 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:07 PM      eth0     48.00     66.00      8.97      7.44      0.00      0.00      0.00
05:40:07 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      7.00
05:40:07 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
05:40:07 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:07 PM      eth4      4.00      0.00      0.23      0.00      0.00      0.00      0.00
05:40:07 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:07 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:07 PM     br-ex      8.00      0.00      0.48      0.00      0.00      0.00      0.00

05:40:07 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:08 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:08 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:08 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:08 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:08 PM      eth0     51.00     72.00      9.70      8.12      0.00      0.00      0.00
05:40:08 PM      eth1      6.00      0.00      0.36      0.00      0.00      0.00      0.00
05:40:08 PM      eth2      3.00      0.00      0.18      0.00      0.00      0.00      0.00
05:40:08 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:08 PM      eth4      3.00      0.00      0.18      0.00      0.00      0.00      0.00
05:40:08 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:08 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:08 PM     br-ex      6.00      0.00      0.36      0.00      0.00      0.00      0.00

05:40:08 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:09 PM      usb0      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:09 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:09 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:09 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:09 PM      eth0     45.00     60.00      8.23      6.77      0.00      0.00      0.00
05:40:09 PM      eth1     10.00      0.00      0.59      0.00      0.00      0.00      7.00
05:40:09 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
05:40:09 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:09 PM      eth4      7.00      1.00      0.44      0.08      0.00      0.00      0.00
05:40:09 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:09 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:09 PM     br-ex     10.00      0.00      0.60      0.00      0.00      0.00      0.00

05:40:09 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:10 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:10 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:10 PM    br-int      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:10 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:10 PM      eth0     82.00     84.00     28.38     12.99      0.00      0.00      0.00
05:40:10 PM      eth1     10.00      0.00      0.59      0.00      0.00      0.00      0.00
05:40:10 PM      eth2      7.00      0.00      0.41      0.00      0.00      0.00      0.00
05:40:10 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:10 PM      eth4     12.00      5.00      0.83      0.53      0.00      0.00      0.00
05:40:10 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:10 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:10 PM     br-ex     10.00      0.00      0.59      0.00      0.00      0.00      0.00
05:40:10 PM tapabc7a7e8-e6      0.00      0.00      0.00      0.00      0.00      0.00      0.00

05:40:10 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:11 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:11 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:11 PM    br-int      3.00      0.00      0.25      0.00      0.00      0.00      0.00
05:40:11 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:11 PM      eth0     68.00     63.00     27.90      8.13      0.00      0.00      0.00
05:40:11 PM      eth1      9.00      0.00      0.53      0.00      0.00      0.00      6.00
05:40:11 PM      eth2      5.00      0.00      0.29      0.00      0.00      0.00      0.00
05:40:11 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:11 PM      eth4     20.00     22.00      1.21      3.50      0.00      0.00      0.00
05:40:11 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:11 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:11 PM     br-ex      9.00      0.00      0.53      0.00      0.00      0.00      0.00

05:40:11 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:12 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:12 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:12 PM    br-int      2.00      0.00      0.16      0.00      0.00      0.00      0.00
05:40:12 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:12 PM      eth0    129.00    132.00     49.33     21.68      0.00      0.00      0.00
05:40:12 PM      eth1      7.00      0.00      0.93      0.00      0.00      0.00      0.00
05:40:12 PM      eth2      3.00      0.00      0.18      0.00      0.00      0.00      0.00
05:40:12 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:12 PM      eth4     25.00     50.00      1.46      6.29      0.00      0.00      0.00
05:40:12 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:12 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:12 PM     br-ex      7.00      0.00      0.93      0.00      0.00      0.00      0.00

05:40:12 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:13 PM tapdbfea743-d3      1.00      0.00      0.09      0.00      0.00      0.00      0.00
05:40:13 PM      usb0  91820.00  91540.00   7310.77   8542.20      0.00      0.00      0.00
05:40:13 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:13 PM    br-int 123518.00      0.00 3426619.32      0.00      0.00      0.00      0.00
05:40:13 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:13 PM      eth0 645206453.00 2865086604.00 831352093.63 3883530272.49      0.00      0.00    633.00
05:40:13 PM      eth1 4089137399.00 1300280100.00 5223899216.49 1666003300.72      0.00      0.00 305210.00
05:40:13 PM      eth2 398754.00      0.00  23543.49      0.00      0.00      0.00     24.00
05:40:13 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:13 PM      eth4 467642.00  75632.00  28591.48  13296.53      0.00      0.00    697.00
05:40:13 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:13 PM        lo 899731.00 899731.00  46764.75  46764.75      0.00      0.00      0.00
05:40:13 PM     br-ex 901774.00 234804.00 11309341.63  17370.74      0.00      0.00      0.00

05:40:13 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:14 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:14 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:14 PM    br-int      3.00      0.00      0.25      0.00      0.00      0.00      0.00
05:40:14 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:14 PM      eth0    102.00    103.00     37.46     16.98      0.00      0.00      0.00
05:40:14 PM      eth1      8.00      0.00      0.54      0.00      0.00      0.00      0.00
05:40:14 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
05:40:14 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:14 PM      eth4     27.00     41.00      1.61      5.08      0.00      0.00      0.00
05:40:14 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:14 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:14 PM     br-ex      8.00      0.00      0.54      0.00      0.00      0.00      0.00

05:40:14 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:15 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:15 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:15 PM    br-int      3.00      0.00      0.24      0.00      0.00      0.00      0.00
05:40:15 PM    br-tun      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:15 PM      eth0    115.00    121.00     43.94     20.03      0.00      0.00      0.00
05:40:15 PM      eth1      8.00      0.00      0.47      0.00      0.00      0.00      8.00
05:40:15 PM      eth2      4.00      0.00      0.23      0.00      0.00      0.00      0.00
05:40:15 PM      eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:15 PM      eth4     31.00     46.00      1.85      5.88      0.00      0.00      0.00
05:40:15 PM      eth5      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:15 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:15 PM     br-ex      8.00      0.00      0.48      0.00      0.00      0.00      0.00

05:40:15 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
05:40:16 PM      usb0      1.00      1.00      0.08      0.10      0.00      0.00      0.00
05:40:16 PM ovs-system      0.00      0.00      0.00      0.00      0.00      0.00      0.00
05:40:16 PM    br-int      2.00      0.00      0.16      0.00      0.00      0.00      0.00
